algorithm,problem,actions,expansions,goal_tests,new_nodes,plan_length,time_elapsed
breadth_first_search,1,20,43,56,178,6,0.006513581000036
depth_first_graph_search,1,20,21,22,84,20,0.003504365000026
uniform_cost_search,1,20,60,62,240,6,0.0094485300001
greedy_best_first_graph_search with h_unmet_goals,1,20,7,9,29,6,0.001676425999904
greedy_best_first_graph_search with h_pg_levelsum,1,20,6,8,28,6,0.111737470000207
greedy_best_first_graph_search with h_pg_maxlevel,1,20,6,8,24,6,0.075291196000308
greedy_best_first_graph_search with h_pg_setlevel,1,20,6,8,28,6,0.336199788000158
astar_search with h_unmet_goals,1,20,50,52,206,6,0.009074200000214
astar_search with h_pg_levelsum,1,20,28,30,122,6,0.25470697100036
astar_search with h_pg_maxlevel,1,20,43,45,180,6,0.286826958000347
astar_search with h_pg_setlevel,1,20,33,35,138,6,1.56223686599969
breadth_first_search,2,72,3343,4609,30503,9,1.98750382200024
depth_first_graph_search,2,72,624,625,5602,619,2.94616912599986
uniform_cost_search,2,72,5154,5156,46618,9,3.27268033300015
greedy_best_first_graph_search with h_unmet_goals,2,72,17,19,170,9,0.018920820000403
greedy_best_first_graph_search with h_pg_levelsum,2,72,9,11,86,9,2.01404610899999
greedy_best_first_graph_search with h_pg_maxlevel,2,72,27,29,249,9,2.97803440000007
greedy_best_first_graph_search with h_pg_setlevel,2,72,9,11,84,9,7.74961444499968
astar_search with h_unmet_goals,2,72,2467,2469,22522,9,2.08109247300035
astar_search with h_pg_levelsum,2,72,357,359,3426,9,51.4441951200001
astar_search with h_pg_maxlevel,2,72,2887,2889,26594,9,556.086411627
astar_search with h_pg_setlevel,2,72,1037,1039,9605,9,938.039121236
breadth_first_search,3,88,14663,18098,129625,12,10.5228913109995
greedy_best_first_graph_search with h_unmet_goals,3,88,25,27,230,15,0.079073278000578
greedy_best_first_graph_search with h_pg_levelsum,3,88,14,16,126,14,4.73722889599958
astar_search with h_unmet_goals,3,88,7388,7390,65711,12,8.04124860999946
astar_search with h_pg_levelsum,3,88,369,371,3403,12,156.386739236999
breadth_first_search,4,104,99736,114953,944130,14,94.0430080719998
greedy_best_first_graph_search with h_unmet_goals,4,104,29,31,280,18,0.108905128000515
greedy_best_first_graph_search with h_pg_levelsum,4,104,17,19,165,17,8.25139134199981
astar_search with h_unmet_goals,4,104,34330,34332,328509,14,112.387840240001
astar_search with h_pg_levelsum,4,104,1208,1210,12210,15,551.509012415
